,is_fake,emoji
375,0,{'♥️': 'heart suit'}
376,0,{'📷': 'camera'}
377,0,{'🥲': 'smiling face with tear'}
378,0,{}
379,0,{'🐿': 'chipmunk'}
380,0,{'🍂': 'fallen leaf'}
381,0,{}
382,0,"{'🍂': 'fallen leaf', '🧣': 'scarf'}"
383,0,{'❗': 'red exclamation mark'}
384,0,{'❗': 'red exclamation mark'}
385,0,{}
386,0,{'🌿': 'herb'}
387,0,{'🌹': 'rose'}
388,0,"{'✨': 'sparkles', '⚡': 'high voltage'}"
389,0,{'📷': 'camera'}
390,0,{'✨': 'sparkles'}
391,0,{'😇': 'smiling face with halo'}
392,0,{'🍷': 'wine glass'}
393,0,{}
394,0,"{'🐈\u200d⬛': 'black cat', '😆': 'grinning squinting face', '❓': 'red question mark', '🐈': 'cat'}"
395,0,"{'📷': 'camera', '💛': 'yellow heart'}"
396,0,"{'👏': 'clapping hands', '📷': 'camera', '💛': 'yellow heart'}"
397,0,{}
398,0,"{'📷': 'camera', '💃': 'woman dancing', '😭': 'loudly crying face', '💛': 'yellow heart'}"
399,0,"{'⚡': 'high voltage', '😈': 'smiling face with horns', '🥃': 'tumbler glass', '🖤': 'black heart'}"
400,0,"{'🌍': 'globe showing Europe-Africa', '🔥': 'fire'}"
401,0,"{'❤️': 'red heart', '⚡': 'high voltage', '💥': 'collision', '🖤': 'black heart', '🌍': 'globe showing Europe-Africa', '📸': 'camera with flash'}"
402,0,"{'❤️': 'red heart', '💥': 'collision', '☠️': 'skull and crossbones', '🖤': 'black heart', '📸': 'camera with flash', '🥃': 'tumbler glass'}"
403,0,"{'💫': 'dizzy', '📸': 'camera with flash', '⚡': 'high voltage'}"
404,0,"{'📸': 'camera with flash', '🤟🏾': 'love-you gesture: medium-dark skin tone', '⚡': 'high voltage', '💥': 'collision'}"
405,0,"{'🌍': 'globe showing Europe-Africa', '🙏🏾': 'folded hands: medium-dark skin tone', '⚡': 'high voltage'}"
406,0,"{'😉': 'winking face', '🌃': 'night with stars', '🌙': 'crescent moon', '⚡': 'high voltage', '👊🏾': 'oncoming fist: medium-dark skin tone', '🤫': 'shushing face', '🎟': 'admission tickets'}"
407,0,"{'🥃': 'tumbler glass', '🖤': 'black heart', '💥': 'collision'}"
408,0,"{'📸': 'camera with flash', '🌎': 'globe showing Americas', '⚡': 'high voltage'}"
409,0,"{'⚡': 'high voltage', '🥂': 'clinking glasses', '🔥': 'fire', '🖤': 'black heart', '🌍': 'globe showing Europe-Africa', '🥃': 'tumbler glass'}"
410,0,"{'📸': 'camera with flash', '⚓': 'anchor', '☯️': 'yin yang'}"
411,0,"{'🦅': 'eagle', '🔥': 'fire', '🖤': 'black heart', '🌍': 'globe showing Europe-Africa', '📸': 'camera with flash'}"
412,0,{'🌍': 'globe showing Europe-Africa'}
413,0,{'⚡': 'high voltage'}
414,0,"{'🧠': 'brain', '🐅': 'tiger', '💀': 'skull', '⛓': 'chains', '😊': 'smiling face with smiling eyes', '🌋': 'volcano'}"
415,0,"{'🖤': 'black heart', '⚡': 'high voltage'}"
416,0,"{'🌍': 'globe showing Europe-Africa', '📸': 'camera with flash', '🐅': 'tiger'}"
417,0,"{'🌍': 'globe showing Europe-Africa', '☑️': 'check box with check', '⚡': 'high voltage'}"
418,0,"{'💪🏾': 'flexed biceps: medium-dark skin tone', '📸': 'camera with flash'}"
419,0,{'☀️': 'sun'}
420,0,"{'💥': 'collision', '👟': 'running shoe', '⚡': 'high voltage', '💪🏾': 'flexed biceps: medium-dark skin tone'}"
421,0,"{'🌍': 'globe showing Europe-Africa', '📸': 'camera with flash'}"
422,0,"{'🌹': 'rose', '🥃': 'tumbler glass', '😉': 'winking face'}"
423,0,"{'🌍': 'globe showing Europe-Africa', '📸': 'camera with flash'}"
424,0,"{'🌍': 'globe showing Europe-Africa', '🇲🇽': 'flag: Mexico', '🖤': 'black heart', '⚡': 'high voltage'}"
425,0,"{'🎶': 'musical notes', '😉': 'winking face', '⚡': 'high voltage', '💀': 'skull', '🏴': 'black flag', '⭐': 'star', '🌍': 'globe showing Europe-Africa'}"
426,0,{'📸': 'camera with flash'}
427,0,"{'🌍': 'globe showing Europe-Africa', '⚡': 'high voltage'}"
428,0,"{'❤️': 'red heart', '💪🏾': 'flexed biceps: medium-dark skin tone', '⚡': 'high voltage', '😉': 'winking face', '🇲🇽': 'flag: Mexico', '📱': 'mobile phone', '😊': 'smiling face with smiling eyes', '👶🏼': 'baby: medium-light skin tone', '🌍': 'globe showing Europe-Africa'}"
429,0,"{'⚡': 'high voltage', '🚨': 'police car light', '👊🏾': 'oncoming fist: medium-dark skin tone', '☝🏾': 'index pointing up: medium-dark skin tone', '🌍': 'globe showing Europe-Africa', '✖️': 'multiply'}"
430,0,"{'🌍': 'globe showing Europe-Africa', '🇲🇽': 'flag: Mexico', '⚡': 'high voltage', '🖤': 'black heart'}"
431,0,"{'✖️': 'multiply', '⚡': 'high voltage'}"
432,0,"{'⚡': 'high voltage', '🇲🇽': 'flag: Mexico', '🖤': 'black heart', '🌍': 'globe showing Europe-Africa'}"
433,0,"{'❤️': 'red heart', '⚡': 'high voltage', '🇲🇽': 'flag: Mexico', '🖤': 'black heart', '🌍': 'globe showing Europe-Africa', '🙏🏾': 'folded hands: medium-dark skin tone'}"
434,0,"{'⚡': 'high voltage', '🇲🇽': 'flag: Mexico', '🖤': 'black heart', '🌍': 'globe showing Europe-Africa', '📸': 'camera with flash'}"
435,0,"{'🦅': 'eagle', '⚡': 'high voltage', '🚀': 'rocket', '📸': 'camera with flash', '🇲🇽': 'flag: Mexico', '🔥': 'fire', '😊': 'smiling face with smiling eyes', '🖤': 'black heart', '🌍': 'globe showing Europe-Africa', '🙏🏾': 'folded hands: medium-dark skin tone'}"
436,0,"{'⚡': 'high voltage', '🇲🇽': 'flag: Mexico', '🌍': 'globe showing Europe-Africa', '📸': 'camera with flash', '🥃': 'tumbler glass'}"
437,0,"{'⚡': 'high voltage', '🇲🇽': 'flag: Mexico', '🖤': 'black heart', '🌍': 'globe showing Europe-Africa', '📸': 'camera with flash'}"
438,0,{}
439,0,"{'✊🏾': 'raised fist: medium-dark skin tone', '⚡': 'high voltage', '💥': 'collision', '🇲🇽': 'flag: Mexico', '🖤': 'black heart', '🌍': 'globe showing Europe-Africa', '🥃': 'tumbler glass', '🙏🏾': 'folded hands: medium-dark skin tone'}"
440,0,"{'🌍': 'globe showing Europe-Africa', '🇲🇽': 'flag: Mexico', '⚡': 'high voltage'}"
441,0,"{'⚡': 'high voltage', '🇲🇽': 'flag: Mexico', '🔥': 'fire', '🖤': 'black heart', '🌍': 'globe showing Europe-Africa', '🥃': 'tumbler glass', '📸': 'camera with flash'}"
442,0,{'⚡': 'high voltage'}
443,0,"{'⭐': 'star', '😈': 'smiling face with horns'}"
444,0,"{'💪🏾': 'flexed biceps: medium-dark skin tone', '🇲🇽': 'flag: Mexico', '🥃': 'tumbler glass'}"
445,0,"{'🇲🇽': 'flag: Mexico', '🖤': 'black heart', '🛩': 'small airplane', '🥃': 'tumbler glass', '🙏🏾': 'folded hands: medium-dark skin tone'}"
446,0,{'❤️': 'red heart'}
447,0,{'🌍': 'globe showing Europe-Africa'}
448,0,"{'🙋🏽\u200d♂️': 'man raising hand: medium skin tone', '🎈': 'balloon', '💦': 'sweat droplets', '🤣': 'rolling on the floor laughing', '🖤': 'black heart', '🥰': 'smiling face with hearts'}"
449,0,{'🧊': 'ice'}
450,0,"{'🥜': 'peanuts', '🔥': 'fire'}"
451,0,{}
452,0,"{'🥜': 'peanuts', '👀': 'eyes'}"
453,0,{'⚽': 'soccer ball'}
454,0,{'🎉': 'party popper'}
455,0,{'👀': 'eyes'}
456,0,{}
457,0,{}
458,0,{}
459,0,{}
460,0,"{'⚽': 'soccer ball', '🤗': 'hugging face', '👟': 'running shoe'}"
461,0,{}
462,0,{}
463,0,"{'⚽': 'soccer ball', '💫': 'dizzy'}"
464,0,"{'📍': 'round pushpin', '🎥': 'movie camera'}"
465,0,{}
466,0,{}
467,0,{'™️': 'trade mark'}
468,0,{}
469,0,{}
470,0,"{'➡️': 'right arrow', '🚨': 'police car light', '🤩': 'star-struck', '⏳': 'hourglass not done'}"
471,0,"{'☎️': 'telephone', '📧': 'e-mail'}"
472,0,"{'➡': 'right arrow', '⏳': 'hourglass not done'}"
473,0,"{'👍🏻': 'thumbs up: light skin tone', '✅': 'check mark button'}"
474,0,"{'💪🏻': 'flexed biceps: light skin tone', '🏆': 'trophy'}"
475,0,"{'👟': 'running shoe', '🟢': 'green circle'}"
476,0,"{'⚽': 'soccer ball', '🇯🇵': 'flag: Japan'}"
477,0,"{'💨': 'dashing away', '👟': 'running shoe'}"
478,0,{'🇯🇵': 'flag: Japan'}
479,0,{}
480,0,{'📲': 'mobile phone with arrow'}
481,0,{'🇦🇷': 'flag: Argentina'}
482,0,{}
483,0,"{'🗓': 'spiral calendar', '✅': 'check mark button'}"
484,0,{}
485,0,{}
486,0,{}
487,0,{'☺️': 'smiling face'}
488,0,{'😌': 'relieved face'}
489,0,{}
490,0,"{'🙏🏻': 'folded hands: light skin tone', '🤍': 'white heart', '🥺': 'pleading face'}"
491,0,{'😳': 'flushed face'}
492,0,{}
493,0,{'🌆': 'cityscape at dusk'}
494,0,{}
495,0,{'😍': 'smiling face with heart-eyes'}
496,0,{}
497,0,{}
498,0,{'😛': 'face with tongue'}
499,0,{}
500,0,{'🥲': 'smiling face with tear'}
501,0,"{'😍': 'smiling face with heart-eyes', '😌': 'relieved face'}"
502,0,"{'😌': 'relieved face', '✨': 'sparkles'}"
503,0,{'☀️': 'sun'}
504,0,{}
505,0,{}
506,0,{}
507,0,{}
508,0,{}
509,0,{'👌🏻': 'OK hand: light skin tone'}
510,0,{'😍': 'smiling face with heart-eyes'}
511,0,{'😌': 'relieved face'}
512,0,{}
513,0,{}
514,0,{'🤡': 'clown face'}
515,0,{'😌': 'relieved face'}
516,0,{'😍': 'smiling face with heart-eyes'}
517,0,{}
518,0,{}
519,0,{'😊': 'smiling face with smiling eyes'}
520,0,{'😍': 'smiling face with heart-eyes'}
521,0,{}
522,0,{'🤡': 'clown face'}
523,0,{}
524,0,{}
525,0,{'🤡': 'clown face'}
526,0,{}
527,0,{}
528,0,{'😳': 'flushed face'}
529,0,{'❤️': 'red heart'}
530,0,{}
531,0,{'😍': 'smiling face with heart-eyes'}
532,0,{}
533,0,{'☀️': 'sun'}
534,0,{}
535,0,{}
536,0,{}
537,0,{'📷': 'camera'}
538,0,{}
539,0,{}
540,0,{}
541,0,{}
542,0,{}
543,0,{'👊🏼': 'oncoming fist: medium-light skin tone'}
544,0,{}
545,0,{}
546,0,{}
547,0,{}
548,0,{}
549,0,{}
550,0,{}
551,0,{}
552,0,"{'🔮': 'crystal ball', '👾': 'alien monster'}"
553,0,{}
554,0,{}
555,0,{'🤗': 'hugging face'}
556,0,{'🎧': 'headphone'}
557,0,{}
558,0,"{'💜': 'purple heart', '🙌🏻': 'raising hands: light skin tone', '🟢': 'green circle', '✨': 'sparkles'}"
559,0,{}
560,0,{}
561,0,{}
562,0,"{'🎧': 'headphone', '🌎': 'globe showing Americas', '😭': 'loudly crying face'}"
563,0,"{'🔗': 'link', '🎵': 'musical note'}"
564,0,{}
565,0,{}
566,0,{'😎': 'smiling face with sunglasses'}
567,0,{}
568,0,{}
569,0,{}
570,0,{}
571,0,"{'🎤': 'microphone', '🤖': 'robot', '🤝': 'handshake', '🦾': 'mechanical arm'}"
572,0,{}
573,0,{}
574,0,{'😆': 'grinning squinting face'}
575,0,{}
576,0,{'🔗': 'link'}
577,0,{'😢': 'crying face'}
578,0,{'😆': 'grinning squinting face'}
579,0,"{'🤗': 'hugging face', '🔗': 'link'}"
580,0,"{'🔗': 'link', '🔍': 'magnifying glass tilted left', '☕': 'hot beverage'}"
581,0,"{'🤣': 'rolling on the floor laughing', '😜': 'winking face with tongue'}"
582,0,{}
583,0,{'🔗': 'link'}
584,0,"{'⏰': 'alarm clock', '🔗': 'link', '🔍': 'magnifying glass tilted left'}"
585,1,{}
586,1,{}
587,1,{}
588,1,{}
589,1,{}
590,1,{}
591,1,{}
592,0,{}
593,0,{}
594,0,{}
595,0,{}
596,0,{'©': 'copyright'}
597,0,{'™': 'trade mark'}
598,0,{}
599,0,{}
600,0,{}
601,0,{'®': 'registered'}
602,0,{}
603,0,{}
604,0,{'®': 'registered'}
605,0,{}
606,0,{'©': 'copyright'}
607,0,{}
608,0,{}
609,0,{}
610,0,{}
611,0,{}
612,0,{}
613,0,{}
614,0,{}
615,0,{}
616,0,{}
617,0,{'©': 'copyright'}
618,0,{}
619,0,{}
620,0,{}
621,0,{}
622,0,{'🥲': 'smiling face with tear'}
623,0,{}
624,0,{}
